Date,Breakfast,Lunch,Dinner,Snacks,Drinks,,,,,
4/7/16,Blueberry Yogurt,,Falafels,Carrots,"Morning Tea, Orange Juice, Chai",,,,,
4/8/16,,Stir fry,"GF Pita, Hummus","Cheerios, Sesame Candy","Morning Tea, Orange Juice",,,,,
4/9/16,,"Hash Browns, Chicken Apple Sausage, Bacon, Fruit Cup","Spiced Chicken, Brown Rice, Strawberries, Nutella",Peanut M&Ms,"Morning Tea, Nutella Latte",,,,,
4/10/16,,"Brown Rice, Indian Fish Curry, Spiced Yogurt, Okra",GF Pizza,Blueberries,"Latte, Chai Latte",,,,,
4/11/16,,"GF Pita, Hummus","Brown Rice, Spiced Yogurt, Green Beans",GF Chocolate Frosted Donuts,"Morning Tea, Orange Juice",,,,,
4/12/16,GF Chocolate Frosted Donuts,,"GF Pita, Hummus, Grilled Chicken",Cheerios,Morning Tea,,,,,
4/13/16,,"GF Pizza, Blueberries","Brown Rice, Spiced Yogurt, Okra","Cheerios, Mini Cheesecake, Blueberries",Morning Tea,,,,,
4/14/16,,Blueberry Yogurt,"Sushi: Carrot, Mango, Tofu","Cheerios, Peanut Butter Chocolate Protein Bar, GF Chocolate Frosted Donuts",Morning Tea,,,,,
4/15/16,,"Brown Rice, Indian Fish Curry, Spiced Yogurt","Blazin Wings, Hot Wings, Hot BBQ Wings",Hot Fudge Sundae,Morning Tea,,,,,
4/16/16,Blueberry Yogurt,"Pao Bhaji, GF Hamburger Bun",Pesto Cavatappi Regular w/ Grilled Chicken,,"Morning Tea, Pomegranate Italian Soda",,,,,
4/17/16,,"GF Pita, Hummus, Grilled Chicken","Brown Rice, Spiced Yogurt, Okra, Indian Fish Curry",,Orange Juice,,,,,
4/18/16,Fruit and Yogurt Parfait,Chicken Bowl,GF Pizza,,Brewed Iced Tea,,,,,
4/19/16,Blueberry Yogurt,,"Sushi: Carrot, Mango, Tofu","Carrots, Chocolate Ice Cream","Morning Tea, Shaken Iced Tea, Carmelized Honey Latte",,,,,
4/20/16,,"Sushi: Carrot, Mango Tofu","GF Pita, Hummus, Grilled Chicken",,Morning Tea,,,,,
4/21/16,Blueberry Yogurt,,"Brown Rice, Spiced Yogurt, Indian Fish Curry","Cheerios, Peaches, Vanilla Ice Cream",Morning Tea,,,,,
4/22/16,,"Brown Rice, Spiced Yogurt, Okra, Green Beans",GF Pizza,"Peaches, Vanilla Ice Cream, Whachamacllit","Latte, Orange Juice",,,,,
4/23/16,,Salad,,Pesto Cavatappi Regular w/ Grilled Chicken,Chai,,,,,